,precision,recall,f1-score,support
0,0.8487394957983193,0.7859922178988327,0.8161616161616161,257.0
1,0.7900763358778626,0.8518518518518519,0.8198019801980198,243.0
accuracy,0.818,0.818,0.818,0.818
macro avg,0.8194079158380909,0.8189220348753423,0.8179817981798179,500.0
weighted avg,0.8202292000769773,0.818,0.8179308330833083,500.0
